,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
193,10/12/2015,0.543189033,2.053690476,28.182501,28.1875,27.860001,27.9,121868800,28.0237505,0.302501
194,10/13/2015,4.31072601,0.543189033,27.705,28.112499,27.67,27.9475,132197200,27.8912495,-0.132501
195,10/14/2015,2.532539683,4.31072601,27.8225,27.879999,27.389999,27.5525,177849600,27.634999,-0.2562505
196,10/15/2015,5.656782107,2.532539683,27.7325,28.025,27.622499,27.965,150694000,27.8237495,0.1887505
197,10/16/2015,2.899058442,5.656782107,27.945,28,27.6325,27.76,156930400,27.81625,-0.0074995
198,10/19/2015,1.886562049,2.899058442,27.700001,27.9375,27.5275,27.932501,119036800,27.7325,-0.08375
199,10/20/2015,2.924632035,1.886562049,27.834999,28.5425,27.705,28.442499,195871200,28.12375,0.39125
200,10/21/2015,5.14527417,2.924632035,28.5,28.895,28.424999,28.440001,167180800,28.6599995,0.5362495
201,10/22/2015,6.954767316,5.14527417,28.5825,28.875,28.525,28.875,166616400,28.7,0.0400005
202,10/23/2015,4.942758538,6.954767316,29.174999,29.807501,29.0825,29.77,237467600,29.4450005,0.7450005
203,10/26/2015,5.629806397,4.942758538,29.52,29.532499,28.73,28.82,265335200,29.1312495,-0.313751
204,10/27/2015,6.765530303,5.629806397,28.85,29.135,28.497499,28.637501,279537600,28.8162495,-0.315
205,10/28/2015,7.492647908,6.765530303,29.2325,29.825001,29.014999,29.817499,342205600,29.42,0.6037505
206,10/29/2015,5.370295815,7.492647908,29.674999,30.172501,29.567499,30.1325,204909200,29.87,0.45
207,10/30/2015,7.073710317,5.370295815,30.247499,30.305,29.862499,29.875,197461200,30.0837495,0.2137495
208,11/2/2015,3.285238095,7.073710317,30.200001,30.34,29.9025,30.295,128813200,30.12125,0.0375005
209,11/3/2015,3.643054654,3.285238095,30.1975,30.872499,30.174999,30.6425,182076000,30.523749,0.402499
210,11/4/2015,7.655727513,3.643054654,30.782499,30.955,30.405001,30.5,179544400,30.6800005,0.1562515
211,11/5/2015,4.248560606,7.655727513,30.4625,30.672501,30.045,30.23,158210800,30.3587505,-0.32125
212,11/6/2015,6.542209596,4.248560606,30.2775,30.452499,30.155001,30.264999,132169200,30.30375,-0.0550005
213,11/9/2015,5.85080267,6.542209596,30.24,30.452499,30.012501,30.1425,135485600,30.2325,-0.07125
214,11/10/2015,3.609650673,5.85080267,29.225,29.5175,29.014999,29.192499,236511600,29.2662495,-0.9662505
215,11/11/2015,4.088452381,3.609650673,29.092501,29.355,28.8025,29.0275,180872000,29.07875,-0.1874995
216,11/12/2015,5.696600529,4.088452381,29.065001,29.205,28.9125,28.93,130102400,29.05875,-0.02
